author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
MR Group;developer;https://www.cian.ru/sale/flat/292125772/;Москва;sale;flat;20;37;1;39.6;29053268;2027;-1;Монолитный;-1;Без отделки;-1;-1;+74951379040;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298048143/;Москва;sale;flat;17;29;1;33.5;20000000;2023;-1;-1;-1;-1;-1;10 м²;+79859670981;Хорошево-Мневники;Шелепихинская набережная;40к3;Хорошёвская;
MR Group;developer;https://www.cian.ru/sale/flat/271758050/;Москва;sale;flat;4;41;1;38.59;23715078;2024;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;24,4 м²;-1;+74951387081;Раменки;1-й Сетуньский проезд;вл10;Лужники;Hide
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/298785326/;Москва;sale;flat;7;9;1;35.3;37500000;2019;-1;-1;-1;-1;17,6 м²;9,5 м²;+79153499386;Пресненский;Мантулинская ;9к2;Деловой центр;City Park
Sminex;developer;https://www.cian.ru/sale/flat/297972137/;Москва;sale;flat;2;5;1;54.7;124590000;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;15,5 м²;20,8 м²;+74951347302;Тверской;;;Площадь Революции;Ильинка 3/8 ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298045968/;Москва;sale;flat;13;43;1;32.3;20200000;2023;-1;-1;-1;-1;15,1 м²;8,2 м²;+79859670981;Хорошево-Мневники;Шелепихинская набережная;40к1;Шелепиха;Sydney City
Sminex;developer;https://www.cian.ru/sale/flat/293713671/;Москва;sale;flat;2;14;1;72.6;133260000;2024;-1;Монолитный;-1;Без отделки;14,2 м²;31 м²;+74951375467;Якиманка;;;Полянка;Лаврушинский ЖК
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/299521516/;Москва;sale;flat;5;5;1;30.0;10800000;1958;-1;-1;-1;-1;18 м²;6 м²;+79850734782;Хорошевский; Куусинена;6К5;Полежаевская;
Regions Development;developer;https://www.cian.ru/sale/flat/299622170/;Москва;sale;flat;4;6;1;42.4;24066777;2023;-1;Монолитный;-1;Без отделки;-1;-1;+74951379034;Нагатинский затон;проспект Андропова;9/1к3;Технопарк;Dream Towers
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/296739976/;Москва;sale;flat;18;41;1;65.7;28000000;2021;-1;-1;-1;Без отделки;28,5 м²;15,7 м²;+79859670981;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха;Сердце Столицы
ID 111759195;developer;https://www.cian.ru/sale/flat/296871941/;Москва;sale;flat;2;30;1;31.3;11568480;2027;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;-1;-1;+74951346258;Рязанский;Рязанский проспект;;Окская;balance
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298155359/;Москва;sale;flat;23;43;1;37.9;15900000;2025;-1;-1;-1;Без отделки;15,4 м²;8,7 м²;+79859670981;Покровское-Стрешнево;;;Трикотажная;Скай Гарден ЖК
ID 39404589;developer;https://www.cian.ru/sale/flat/299620872/;Москва;sale;flat;31;34;1;30.0;15453000;2025;-1;Монолитный;-1;Без отделки, предчистовая;-1;-1;+74951387095;Обручевский;;;Калужская;Эвер ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298474842/;Москва;sale;flat;32;43;1;46.6;23500000;2023;-1;-1;-1;Чистовая;17,4 м²;16,6 м²;+79855014664;Хорошево-Мневники;Шелепихинская набережная;40к1;Шелепиха;Sydney City
