region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,isСomplete,complitation_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction,repair,with_furniture,windows_type
msk,"Москва, Ильинка",196080000,88.5,30.5,34.2,2,2,5,empty,0,2024,monolith,empty,empty,empty,37.6235092209009,55.7552009954911,empty,empty,"Площадь Революции,Театральная,Китай-город","3,6,6","walk,walk,walk","Тверской,ЦАО",0,0,empty,empty,empty
msk,"Россия, Москва, Московский международный деловой центр Москва-Сити тер., многофункциональный комплекс Око",491101853,294.6,empty,empty,4,80,85,empty,empty,empty,monolith,underground,empty,empty,37.534325,55.749765,4,1,"Деловой центр,Международная,Деловой центр","3,3,4","walk,walk,walk","Пресненский,ЦАО",1,1,empty,empty,empty
msk,"Москва, Большой Толмачёвский переулок",156750000,85.6,15.5,34.6,2,2,14,empty,0,2024,monolith,underground,empty,1,37.6199132844,55.7394739632,1,1,"Полянка,Боровицкая,Третьяковская","2,20,4","transport,walk,transport","Якиманка,ЦАО",0,0,empty,empty,empty
msk,"Москва, М. Бронная ул., 32",99000000,110.5,15.0,61.0,3,2,6,1912,empty,empty,brick,ground,empty,0,37.593524,55.764197,1,0,"Маяковская,Пушкинская,Тверская","10,10,10","walk,walk,walk","Пресненский,ЦАО",empty,1,empty,empty,empty
msk,"Москва, Дубининская улица, 59к6",32551037,58.0,empty,24.1,2,3,27,empty,0,2024,empty,empty,empty,empty,37.6356517202372,55.71786170144511,empty,empty,"Серпуховская,Павелецкая,Добрынинская","18,20,4","walk,walk,transport","Даниловский,ЮАО",0,0,empty,empty,empty
msk,"Москва, Остоженка ул., 5",160000000,153.0,14.0,102.0,4,6,7,1914,empty,empty,brick,ground,empty,1,37.601439,55.74333,1,0,"Кропоткинская,Боровицкая,Арбатская","3,13,15","walk,walk,walk","Хамовники,ЦАО",empty,1,empty,empty,empty
msk,"Москва, проспект Андропова, вл9/1",30222250,72.1,empty,empty,2,2,24,empty,1,2023,monolith,empty,without,empty,37.6672398220896,55.6906546805921,empty,3,"Технопарк,Коломенская,Автозаводская","5,15,4","walk,walk,transport","Нагатинский затон,ЮАО",0,0,empty,empty,empty
msk,"Москва, Колымажный переулок, 10",290000000,200.9,17.0,110.0,4,4,7,2006,empty,empty,monolithBrick,underground,empty,0,37.604403,55.748199,1,0,"Кропоткинская,Александровский сад,Арбатская","5,7,7","walk,walk,walk","Хамовники,ЦАО",empty,1,empty,empty,empty
msk,"Москва, Поклонная улица, 9",48858726,51.2,empty,30.9,2,28,34,empty,0,2023,monolith,underground,fine,empty,37.5250665079,55.7342431957,1,1,"Кутузовская,Парк Победы","14,17","walk,walk","Дорогомилово,ЗАО",1,0,empty,empty,empty
msk,"Москва, Б. Козихинский пер., 25",360000000,193.4,13.0,121.0,4,6,8,2014,empty,empty,monolithBrick,underground,empty,1,37.594414,55.764734,1,0,Пушкинская,9,walk,"Пресненский,ЦАО",empty,1,empty,empty,empty
msk,"Москва, Дербеневская улица",18707580,38.7,18.2,12.0,2,10,27,empty,0,2026,monolith,empty,without,empty,37.6449734179683,55.7209805531047,1,2,"Серпуховская,Пролетарская,Павелецкая","20,2,4","walk,transport,transport","Даниловский,ЮАО",0,0,empty,empty,empty
msk,"Москва, Ходынская улица, вл2кА",180000000,250.8,empty,empty,5,34,44,2018,empty,empty,monolith,underground,empty,empty,37.564212,55.770806,empty,3,"Улица 1905 года,Белорусская,Белорусская","13,17,19","walk,walk,walk","Пресненский,ЦАО",0,1,empty,empty,empty
msk,"Москва, Садовая-Сухаревская улица",85244381,59.8,empty,empty,2,4,17,empty,0,2025,monolithBrick,underground,fine,empty,37.6272998048926,55.772690620696,2,1,"Цветной бульвар,Сухаревская,Трубная","8,1,12","walk,transport,walk","Мещанский,ЦАО",0,0,empty,empty,empty
msk,"Москва, Б. Татарская ул., 7, корп. 4",185000000,162.7,8.0,112.0,5,7,8,2011,empty,empty,monolithBrick,open,empty,0,37.635009,55.741277,1,0,"Новокузнецкая,Третьяковская,Павелецкая","5,7,17","walk,walk,walk","Замоскворечье,ЦАО",empty,1,empty,empty,empty
msk,"Москва, Электролитный проезд, 12Б",17313120,39.6,empty,empty,2,23,34,empty,0,2026,monolith,empty,without,empty,37.6152154246058,55.6705825395779,3,1,"Нагорная,Нахимовский проспект,Нагатинская","8,4,10","walk,transport,transport","Нагорный,ЮАО",0,0,empty,empty,empty
msk,"Москва, улица 3-я Ямского Поля, 9",275000000,370.0,empty,empty,5,5,6,empty,empty,empty,empty,empty,empty,empty,37.580894,55.781626,empty,empty,Белорусская,5,walk,"Беговой,САО",1,1,empty,empty,empty
msk,"Москва, улица Сергея Макеева",49950000,56.0,9.1,29.2,2,2,23,empty,0,2026,monolith,underground,without,empty,37.5495984651,55.7635848916,1,empty,"Улица 1905 года,Краснопресненская,Шелепиха","12,4,5","walk,transport,transport","Пресненский,ЦАО",0,0,empty,empty,empty
msk,"Москва, улица 3-я Ямского Поля, 9",250000000,324.5,empty,empty,4,6,6,empty,empty,empty,empty,empty,empty,empty,37.580894,55.781626,empty,empty,"Белорусская,Маяковская,Савёловская","7,5,5","walk,transport,transport","Беговой,САО",1,1,empty,empty,empty
msk,"Москва, улица Костикова, 4к1",103787040,110.6,34.6,empty,2,5,21,empty,1,2023,monolith,empty,empty,empty,37.557300985,55.7612846731,empty,empty,"Улица 1905 года,Краснопресненская,Беговая","9,19,2","walk,walk,transport","Пресненский,ЦАО",0,0,empty,empty,empty
msk,"Москва, улица Янковского, 1к1",45900000,72.0,empty,empty,3,9,27,2021,empty,empty,empty,underground,empty,empty,37.473725,55.69731,empty,empty,"Аминьевская,Матвеевская","5,17","walk,walk","Раменки,ЗАО",0,1,empty,empty,empty
msk,"Москва, Дербеневская улица",43767567,55.8,empty,empty,2,6,11,empty,0,2025,monolithBrick,underground,without,empty,37.6542770089447,55.7253323113978,2,1,"Павелецкая,Пролетарская","16,18","walk,walk","Даниловский,ЮАО",0,0,empty,empty,empty
msk,"Москва, 4-ый Верхний Михайловский пр-д , 4, корп. 1",39000000,52.0,6.0,29.0,2,3,5,1956,empty,empty,brick,open,empty,0,37.605221,55.708268,0,0,"Шаболовская,Ленинский проспект,Тульская","16,17,19","walk,walk,walk","Донской,ЮАО",empty,1,empty,empty,empty
msk,"Москва, Херсонская улица, 43к5",30033300,62.7,8.2,37.4,2,24,32,empty,1,2021,empty,empty,empty,empty,37.5591316355813,55.6570116558116,2,2,"Зюзино,Воронцовская,Калужская","13,18,19","walk,walk,walk","Черемушки,ЮЗАО",0,0,empty,empty,empty
msk,"Москва, проспект Вернадского, 94к4",88000000,440.0,30.0,180.0,5,36,39,2010,empty,empty,monolith,underground,empty,empty,37.47174,55.652999,2,2,"Тропарёво,Юго-Западная,Озёрная","14,19,5","walk,walk,transport","Тропарево-Никулино,ЗАО",0,1,empty,empty,empty
msk,"Москва, 1-я Тверская-Ямская улица, 2",85974000,62.3,23.7,empty,2,8,9,empty,1,2022,monolith,underground,fine,empty,37.5948676266339,55.7710883704405,empty,empty,"Маяковская,Тверская,Пушкинская","1,10,11","walk,walk,walk","Тверской,ЦАО",1,0,empty,empty,empty
msk,"Москва, улица Крылатская, д.45, к.4",105000000,248.0,30.0,121.0,4,2,7,empty,empty,empty,empty,empty,empty,empty,37.396416,55.769378,1,1,Крылатское,6,transport,"Крылатское,ЗАО",0,1,empty,empty,empty
msk,"Москва, 2-й Донской проезд",37232473,46.4,empty,empty,2,6,18,empty,0,2028,monolith,empty,without,empty,37.5925293128265,55.7107321234353,empty,empty,"Ленинский проспект,Площадь Гагарина","7,10","walk,walk","Донской,ЮАО",0,0,empty,empty,empty
msk,"Москва, Славянская площадь, 2/5с1",234740000,213.4,empty,79.4,3,8,8,2022,empty,empty,monolithBrick,underground,empty,empty,37.635727,55.752541,empty,empty,"Китай-город,Лубянка,Площадь Революции","2,12,14","walk,walk,walk","Таганский,ЦАО",1,1,empty,empty,empty
msk,"Москва, Полковая улица",22671988,47.4,empty,empty,2,5,22,empty,0,2025,monolith,underground,without,empty,37.5975001541,55.7986280976,2,1,"Савёловская,Марьина Роща","10,6","walk,transport","Марьина роща,СВАО",0,0,empty,empty,empty
msk,"Москва, Беговая ул., 4",29990000,70.2,14.0,36.0,2,5,7,1938,empty,empty,brick,empty,empty,0,37.555095,55.775454,empty,empty,Беговая,6,walk,"Беговой,САО",0,1,empty,empty,empty
msk,"Москва, улица Мнёвники",30898020,61.3,empty,empty,2,20,54,empty,0,2027,monolith,underground,empty,empty,37.5077421542052,55.7741898598792,1,empty,"Полежаевская,Хорошёвская,Народное Ополчение","14,15,15","walk,walk,walk","Хорошево-Мневники,СЗАО",0,0,empty,empty,empty
msk,"Москва, Нижняя Красносельская улица, 35с50",139000000,190.0,empty,empty,3,7,10,2015,empty,empty,monolith,empty,empty,empty,37.674094,55.774745,1,empty,"Бауманская,Красносельская,Комсомольская","5,10,15","walk,walk,walk","Басманный,ЦАО",1,1,empty,empty,empty
msk,"Москва, 2-я Хуторская улица",26716090,58.83,18.9,25.7,2,33,43,empty,0,2025,monolith,underground,empty,empty,37.5718057748288,55.8061573028355,1,1,"Дмитровская,Гражданская,Тимирязевская","6,18,5","walk,walk,transport","Савеловский,САО",0,0,empty,empty,empty
msk,"Москва, М. Ордынка ул., 5/6, стр. 2-3",67500000,88.0,8.0,48.0,3,2,5,1912,empty,empty,brick,open,empty,0,37.62625,55.740147,1,0,"Третьяковская,Новокузнецкая,Полянка","1,5,12","walk,walk,walk","Замоскворечье,ЦАО",empty,1,empty,empty,empty
msk,"Москва, жилой комплекс Виктори Парк Резиденсез, 3к3",70678874,66.5,8.5,empty,2,2,13,empty,0,2024,monolith,empty,fine,empty,37.5164552103271,55.732453937557096,empty,empty,"Парк Победы,Кутузовская,Киевская","9,20,5","walk,walk,transport","Дорогомилово,ЗАО",0,0,empty,empty,empty
msk,"Россия, Москва, улица Усачёва, 11Б",82000000,60.0,empty,empty,2,5,18,2019,empty,empty,monolithBrick,underground,empty,empty,37.572288,55.727724,1,1,"Спортивная,Фрунзенская,Лужники","9,13,15","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, Лужнецкая набережная",50005000,49.8,empty,27.9,2,4,17,empty,0,2026,monolith,multilevel,without,empty,37.5711844656955,55.715275061735,1,1,"Воробьёвы горы,Лужники,Спортивная","12,18,20","walk,walk,walk","Хамовники,ЦАО",0,0,empty,empty,empty
msk,"Москва, Усачева улица, 15А, квартал 2(2.9)",162900000,95.0,13.0,56.8,2,7,14,empty,empty,empty,monolithBrick,multilevel,empty,empty,37.570276,55.7256,empty,empty,"Спортивная,Фрунзенская,Парк Культуры","6,11,4","walk,walk,transport","Хамовники,ЦАО",empty,1,empty,empty,empty
msk,"Москва, Большая Черёмушкинская улица",25230400,41.6,empty,empty,2,23,42,empty,1,2024,monolith,empty,without,empty,37.59277037884578,55.678190318333414,4,4,"Нагорная,Академическая,Крымская","20,5,8","walk,transport,transport","Котловка,ЮЗАО",0,0,empty,empty,empty
msk,"Москва, Усачёва улица, 15А",82000000,60.0,empty,empty,2,5,13,2019,empty,empty,brick,underground,empty,empty,37.571767,55.727399,4,empty,"Спортивная,Фрунзенская,Лужники","10,14,15","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, микрорайон Рублёво-Архангельское, квартал В21",34080444,81.26,25.3,28.5,2,4,13,empty,0,2025,monolith,empty,empty,empty,37.3434570638689,55.7875762516888,empty,empty,"Опалиха,Сетунь,Карамышевская","11,12,13","transport,transport,transport",ЗАО,0,0,empty,empty,empty
msk,"Москва, улица Усачёва, 11",190000000,169.0,empty,empty,3,4,18,2019,empty,empty,brick,underground,empty,1,37.571767,55.727399,empty,empty,"Спортивная,Фрунзенская,Лужники","10,14,15","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, 1-й Можайский тупик, 8Ас1",40701690,41.49,empty,empty,2,5,14,empty,0,2026,monolith,empty,empty,empty,37.55858,55.743603,empty,empty,"Киевская,Студенческая,Выставочная","8,12,20","walk,walk,walk","Дорогомилово,ЗАО",1,0,empty,empty,empty
